pitcher,pitch_type,pitch_name,family,pitches,usage,whiff,putaway,velo,zone_pct,contact_pct,exit_velo
656641,CU,Curveball,Breaking,84,0.0821917808219178,0.375,0.42105263157894735,80.29523809523809,0.30952380952380953,0.625,80.8076923076923
656686,FF,4-Seam FB,Fastball,88,0.5238095238095238,0.3,0.21428571428571427,94.8625,0.4318181818181818,0.7,87.9090909090909
656686,CU,Curveball,Breaking,33,0.19642857142857142,0.5,0.0,85.83030303030303,0.3939393939393939,0.5,86.3
656730,FF,4-Seam FB,Fastball,481,0.631233595800525,0.228,0.2716049382716049,97.91808731808732,0.58004158004158,0.772,84.25217391304348
656730,KC,Knuckle-Curve,Breaking,281,0.36876640419947504,0.49673202614379086,0.4696969696969697,87.93985765124555,0.35587188612099646,0.5032679738562091,81.10714285714286
656756,SI,Sinker,Fastball,64,0.32160804020100503,0.11764705882352941,0.0,90.0625,0.59375,0.8823529411764706,85.46896551724139
656756,CU,Curveball,Breaking,50,0.25125628140703515,0.3684210526315789,0.4,79.036,0.36,0.631578947368421,72.47500000000001
656756,FF,4-Seam FB,Fastball,34,0.1708542713567839,0.058823529411764705,0.0,90.31764705882352,0.4411764705882353,0.9411764705882353,82.24
656786,FF,4-Seam FB,Fastball,41,0.23295454545454544,0.17647058823529413,0.0,91.96829268292683,0.4634146341463415,0.8235294117647058,93.07857142857142
656786,ST,Sweeper,Breaking,40,0.22727272727272727,0.13636363636363635,0.0,82.12750000000001,0.55,0.8636363636363636,78.9421052631579
656786,FC,Cutter,Fastball,35,0.19886363636363635,0.21428571428571427,1.0,88.36,0.5714285714285714,0.7857142857142857,78.27272727272727
656786,CU,Curveball,Breaking,30,0.17045454545454544,0.25,0.0,82.48333333333335,0.3,0.75,85.39999999999999
656794,FF,4-Seam FB,Fastball,462,0.3728813559322034,0.30327868852459017,0.3106796116504854,94.6391774891775,0.5692640692640693,0.6967213114754098,80.0377358490566
656794,SV,Slurve,Breaking,405,0.3268765133171913,0.3028169014084507,0.2318840579710145,82.66987654320988,0.43950617283950616,0.6971830985915493,82.00833333333333
656794,SI,Sinker,Fastball,276,0.22276029055690072,0.11290322580645161,0.10714285714285714,93.33188405797102,0.5543478260869565,0.8870967741935484,84.55600000000003
656794,CU,Curveball,Breaking,39,0.031476997578692496,0.14285714285714285,0.17647058823529413,80.88205128205128,0.38461538461538464,0.8571428571428572,85.82000000000001
656794,CH,Changeup,Offspeed,33,0.026634382566585957,0.058823529411764705,0.0,86.75454545454545,0.3333333333333333,0.9411764705882353,82.375
656848,FF,4-Seam FB,Fastball,586,0.6059979317476732,0.2523076923076923,0.21379310344827587,97.85494880546075,0.48976109215017066,0.7476923076923077,83.23288288288288
656848,SL,Slider,Breaking,258,0.26680455015511895,0.36363636363636365,0.32558139534883723,87.30697674418604,0.4496124031007752,0.6363636363636364,84.12769230769231
656848,CH,Changeup,Offspeed,121,0.125129265770424,0.30612244897959184,0.16666666666666666,89.45702479338843,0.4380165289256198,0.6938775510204082,85.1030303030303
656849,SI,Sinker,Fastball,662,0.3032524049473202,0.15841584158415842,0.16363636363636364,92.00468277945619,0.56797583081571,0.8415841584158416,85.92754237288136
656849,FF,4-Seam FB,Fastball,513,0.23499770957398075,0.19246861924686193,0.2375,92.36413255360624,0.39766081871345027,0.8075313807531381,80.33876404494382
656849,SL,Slider,Breaking,486,0.22262940907008705,0.28735632183908044,0.2786885245901639,86.24382716049382,0.51440329218107,0.7126436781609196,82.25714285714287
656849,CH,Changeup,Offspeed,296,0.13559322033898305,0.23448275862068965,0.20454545454545456,85.58006756756755,0.3885135135135135,0.7655172413793103,80.30392156862744
656849,CU,Curveball,Breaking,226,0.10352725606962895,0.34523809523809523,0.43902439024390244,80.46769911504424,0.38495575221238937,0.6547619047619048,79.34038461538461
656876,FC,Cutter,Fastball,661,0.29157476841640934,0.25555555555555554,0.26495726495726496,90.03615733736763,0.491679273827534,0.7444444444444445,81.19471544715448
656876,FF,4-Seam FB,Fastball,660,0.2911336568151742,0.2570621468926554,0.2634730538922156,95.8271212121212,0.5181818181818182,0.7429378531073446,81.98857142857143
656876,SI,Sinker,Fastball,520,0.22937803264225848,0.15254237288135594,0.15853658536585366,95.295,0.5884615384615385,0.847457627118644,82.6779005524862
